293868
word	neg	pos	rateNeg	ratePos
举足轻重	1	0	7.024445068839562E-5	0.0
艰难	1	0	7.024445068839562E-5	0.0
豪	195	559	0.013697667884237145	0.03926664793481315
郁郁葱葱	0	1	0.0	7.024445068839562E-5
谐	2	8	1.4048890137679124E-4	5.61955605507165E-4
好过	4	2	2.809778027535825E-4	1.4048890137679124E-4
有门	22	8	0.0015453779151447036	5.61955605507165E-4
小巧玲珑	0	2	0.0	1.4048890137679124E-4
重大	2	1	1.4048890137679124E-4	7.024445068839562E-5
谅	20	22	0.0014048890137679123	0.0015453779151447036
谎	7	2	4.917111548187693E-4	1.4048890137679124E-4
谴	2	0	1.4048890137679124E-4	0.0
谢	229	719	0.016085979207642598	0.050505760044956445
价格不菲	0	3	0.0	2.1073335206518685E-4
谦	0	4	0.0	2.809778027535825E-4
谨	3	6	2.1073335206518685E-4	4.214667041303737E-4
不好意思	11	18	7.726889575723518E-4	0.001264400112391121
谬	2	0	1.4048890137679124E-4	0.0
欠周到	0	1	0.0	7.024445068839562E-5
迷	27	29	0.0018966001685866817	0.0020370890699634727
迎	73	174	0.00512784490025288	0.012222534419780837
大骂	2	0	1.4048890137679124E-4	0.0
过	1653	2729	0.11611407698791795	0.19169710592863165
刺耳	5	0	3.5122225344197806E-4	0.0
通透	0	4	0.0	2.809778027535825E-4
最好	60	351	0.004214667041303737	0.02465580219162686
竭诚	3	4	2.1073335206518685E-4	2.809778027535825E-4
名誉	1	0	7.024445068839562E-5	0.0
辣	3	17	2.1073335206518685E-4	0.0011941556617027255
不灵敏	0	1	0.0	7.024445068839562E-5
达	211	266	0.014821579095251475	0.018685023883113234
蹩脚	1	2	7.024445068839562E-5	1.4048890137679124E-4
满口	6	0	4.214667041303737E-4	0.0
明白	44	29	0.0030907558302894073	0.0020370890699634727
恼火	9	3	6.322000561955605E-4	2.1073335206518685E-4
德行	3	0	2.1073335206518685E-4	0.0
辛	6	8	4.214667041303737E-4	5.61955605507165E-4
破旧	28	9	0.001966844619275077	6.322000561955605E-4
二话没说	1	1	7.024445068839562E-5	7.024445068839562E-5
叹为观止	2	0	1.4048890137679124E-4	0.0
不善	2	0	1.4048890137679124E-4	0.0
残缺	1	0	7.024445068839562E-5	0.0
面无表情	10	2	7.024445068839561E-4	1.4048890137679124E-4
宜人	0	4	0.0	2.809778027535825E-4
严加	0	1	0.0	7.024445068839562E-5
软	44	187	0.0030907558302894073	0.01313571227872998
像样	5	4	3.5122225344197806E-4	2.809778027535825E-4
轻	35	44	0.0024585557740938466	0.0030907558302894073
宁静	4	10	2.809778027535825E-4	7.024445068839561E-4
味道不好	3	1	2.1073335206518685E-4	7.024445068839562E-5
落市	0	1	0.0	7.024445068839562E-5
注重	9	6	6.322000561955605E-4	4.214667041303737E-4
赞同	2	2	1.4048890137679124E-4	1.4048890137679124E-4
暗暗	3	5	2.1073335206518685E-4	3.5122225344197806E-4
愧对	2	3	1.4048890137679124E-4	2.1073335206518685E-4
奢侈	1	8	7.024445068839562E-5	5.61955605507165E-4
名义上	1	0	7.024445068839562E-5	0.0
高傲	0	1	0.0	7.024445068839562E-5
安全	74	112	0.0051980893509412755	0.007867378477100308
机动	2	2	1.4048890137679124E-4	1.4048890137679124E-4
轻而易举	3	0	2.1073335206518685E-4	0.0
显然	10	15	7.024445068839561E-4	0.0010536667603259344
不友好	4	1	2.809778027535825E-4	7.024445068839562E-5
恭恭敬敬	0	1	0.0	7.024445068839562E-5
梦想	2	0	1.4048890137679124E-4	0.0
清淡	2	10	1.4048890137679124E-4	7.024445068839561E-4
破口大骂	2	0	1.4048890137679124E-4	0.0
典雅	0	14	0.0	9.834223096375386E-4
洁净	4	15	2.809778027535825E-4	0.0010536667603259344
众目睽睽	1	0	7.024445068839562E-5	0.0
完全	119	88	0.008359089631919078	0.0061815116605788145
硬性	0	1	0.0	7.024445068839562E-5
积极	14	26	9.834223096375386E-4	0.001826355717898286
光鲜	4	0	2.809778027535825E-4	0.0
繁复	0	1	0.0	7.024445068839562E-5
认了	11	6	7.726889575723518E-4	4.214667041303737E-4
躁	1	2	7.024445068839562E-5	1.4048890137679124E-4
高兴	12	33	8.429334082607474E-4	0.0023180668727170554
随便	35	26	0.0024585557740938466	0.001826355717898286
令人费解	2	0	1.4048890137679124E-4	0.0
安分	1	0	7.024445068839562E-5	0.0
热诚	3	3	2.1073335206518685E-4	2.1073335206518685E-4
不和	6	6	4.214667041303737E-4	4.214667041303737E-4
和风细雨	0	2	0.0	1.4048890137679124E-4
祝福	0	10	0.0	7.024445068839561E-4
晕头转向	3	0	2.1073335206518685E-4	0.0
通融	2	0	1.4048890137679124E-4	0.0
慎重	18	3	0.001264400112391121	2.1073335206518685E-4
明码	3	1	2.1073335206518685E-4	7.024445068839562E-5
通过	166	199	0.011660578814273672	0.013978645686990728
良好	8	44	5.61955605507165E-4	0.0030907558302894073
通达	0	1	0.0	7.024445068839562E-5
不变	4	11	2.809778027535825E-4	7.726889575723518E-4
胡乱	4	0	2.809778027535825E-4	0.0
臭气熏天	2	2	1.4048890137679124E-4	1.4048890137679124E-4
脏	345	134	0.024234335487496487	0.009412756392245012
脆	11	9	7.726889575723518E-4	6.322000561955605E-4
置之不理	5	0	3.5122225344197806E-4	0.0
感兴趣	2	0	1.4048890137679124E-4	0.0
名义	4	3	2.809778027535825E-4	2.1073335206518685E-4
惊奇	3	2	2.1073335206518685E-4	1.4048890137679124E-4
强大	1	0	7.024445068839562E-5	0.0
歧视	4	5	2.809778027535825E-4	3.5122225344197806E-4
腻	3	13	2.1073335206518685E-4	9.13177858949143E-4
良性	0	2	0.0	1.4048890137679124E-4
安逸	0	6	0.0	4.214667041303737E-4
腴	0	6	0.0	4.214667041303737E-4
不厌	1	5	7.024445068839562E-5	3.5122225344197806E-4
吵吵闹闹	0	4	0.0	2.809778027535825E-4
腥	1	0	7.024445068839562E-5	0.0
宝贵	74	89	0.0051980893509412755	0.00625175611126721
衷心	13	33	9.13177858949143E-4	0.0023180668727170554
不周	4	1	2.809778027535825E-4	7.024445068839562E-5
担心	17	28	0.0011941556617027255	0.001966844619275077
斥责	2	0	1.4048890137679124E-4	0.0
官僚	1	3	7.024445068839562E-5	2.1073335206518685E-4
膻	0	4	0.0	2.809778027535825E-4
最高级	7	0	4.917111548187693E-4	0.0
真切	0	3	0.0	2.1073335206518685E-4
包涵	1	0	7.024445068839562E-5	0.0
妥贴	0	2	0.0	1.4048890137679124E-4
星级	432	576	0.030345602697386908	0.040460803596515875
低标准	1	0	7.024445068839562E-5	0.0
臊	1	0	7.024445068839562E-5	0.0
干燥	3	7	2.1073335206518685E-4	4.917111548187693E-4
大意	0	2	0.0	1.4048890137679124E-4
开通	12	12	8.429334082607474E-4	8.429334082607474E-4
友善	1	12	7.024445068839562E-5	8.429334082607474E-4
臭	69	29	0.004846867097499297	0.0020370890699634727
期待	39	167	0.002739533576847429	0.011730823264962068
担忧	2	0	1.4048890137679124E-4	0.0
耀	0	1	0.0	7.024445068839562E-5
老	341	622	0.023953357684742906	0.043692048328182076
蛮不讲理	1	0	7.024445068839562E-5	0.0
有据	1	0	7.024445068839562E-5	0.0
苛刻	3	3	2.1073335206518685E-4	2.1073335206518685E-4
欢乐	2	3	1.4048890137679124E-4	2.1073335206518685E-4
绝佳	0	16	0.0	0.00112391121101433
刻薄	1	0	7.024445068839562E-5	0.0
实际上	19	28	0.0013346445630795167	0.001966844619275077
狼藉	1	1	7.024445068839562E-5	7.024445068839562E-5
发呆	3	7	2.1073335206518685E-4	4.917111548187693E-4
悄悄	2	5	1.4048890137679124E-4	3.5122225344197806E-4
实实惠惠	1	0	7.024445068839562E-5	0.0
爱护	0	1	0.0	7.024445068839562E-5
肃	18	3	0.001264400112391121	2.1073335206518685E-4
一怒之下	2	0	1.4048890137679124E-4	0.0
肆	4	7	2.809778027535825E-4	4.917111548187693E-4
肉	37	82	0.0025990446754706378	0.00576004495644844
行时	0	2	0.0	1.4048890137679124E-4
可贵	1	9	7.024445068839562E-5	6.322000561955605E-4
简洁	3	31	2.1073335206518685E-4	0.0021775779713402643
肥	17	13	0.0011941556617027255	9.13177858949143E-4
表扬	12	62	8.429334082607474E-4	0.0043551559426805286
肯	129	186	0.009061534138803035	0.013065467828041584
水灵	0	1	0.0	7.024445068839562E-5
娇艳	0	2	0.0	1.4048890137679124E-4
开心	12	41	8.429334082607474E-4	0.00288002247822422
强行	0	2	0.0	1.4048890137679124E-4
至深	1	3	7.024445068839562E-5	2.1073335206518685E-4
胜	8	44	5.61955605507165E-4	0.0030907558302894073
喜好	3	8	2.1073335206518685E-4	5.61955605507165E-4
满意	150	658	0.010536667603259343	0.046220848552964315
胡	28	29	0.001966844619275077	0.0020370890699634727
专制	0	1	0.0	7.024445068839562E-5
原始	0	1	0.0	7.024445068839562E-5
变通	4	0	2.809778027535825E-4	0.0
能	1619	1918	0.11372576566451251	0.1347288564203428
舒舒服服	0	2	0.0	1.4048890137679124E-4
真诚	54	52	0.0037932003371733635	0.003652711435796572
乱	128	88	0.00899128968811464	0.0061815116605788145
高质量	2	1	1.4048890137679124E-4	7.024445068839562E-5
茫	2	7	1.4048890137679124E-4	4.917111548187693E-4
哭丧着脸	1	0	7.024445068839562E-5	0.0
最新	1	2	7.024445068839562E-5	1.4048890137679124E-4
五大三粗	1	0	7.024445068839562E-5	0.0
乖	6	0	4.214667041303737E-4	0.0
乐	84	227	0.005900533857825232	0.015945490306265804
乏	23	20	0.0016156223658330992	0.0014048890137679123
义	32	30	0.00224782242202866	0.0021073335206518687
茂	4	17	2.809778027535825E-4	0.0011941556617027255
天才	23	23	0.0016156223658330992	0.0016156223658330992
丽	40	161	0.0028097780275358245	0.011309356560831695
丰	22	371	0.0015453779151447036	0.026060691205394775
酷爱	0	1	0.0	7.024445068839562E-5
荫	0	7	0.0	4.917111548187693E-4
中	745	1909	0.052332115762854736	0.13409665636414722
衰弱	1	1	7.024445068839562E-5	7.024445068839562E-5
荡	16	20	0.00112391121101433	0.0014048890137679123
恰到好处	0	2	0.0	1.4048890137679124E-4
荣	3	20	2.1073335206518685E-4	0.0014048890137679123
芳香	0	2	0.0	1.4048890137679124E-4
严	109	61	0.007656645125035122	0.0042849114919921326
谅解	12	16	8.429334082607474E-4	0.00112391121101433
折服	0	1	0.0	7.024445068839562E-5
荟	0	2	0.0	1.4048890137679124E-4
丑	5	3	3.5122225344197806E-4	2.1073335206518685E-4
荒	13	15	9.13177858949143E-4	0.0010536667603259344
上	3061	4127	0.21501826355717898	0.28989884799100873
下	1572	2684	0.11042427648215791	0.18853610564765383
草	15	53	0.0010536667603259344	0.0037229558864849675
厉害	9	18	6.322000561955605E-4	0.001264400112391121
仰	0	1	0.0	7.024445068839562E-5
爽快	1	4	7.024445068839562E-5	2.809778027535825E-4
高尚	0	1	0.0	7.024445068839562E-5
一口	14	8	9.834223096375386E-4	5.61955605507165E-4
仁	6	4	4.214667041303737E-4	2.809778027535825E-4
什	797	742	0.055984827198651305	0.05212138241078955
高层	16	43	0.00112391121101433	0.0030205113796010117
菲	11	42	7.726889575723518E-4	0.002950266928912616
不道德	3	0	2.1073335206518685E-4	0.0
枯燥	0	1	0.0	7.024445068839562E-5
亢	2	0	1.4048890137679124E-4	0.0
亮	57	273	0.00400393368923855	0.019176735037932005
光明	1	10	7.024445068839562E-5	7.024445068839561E-4
亚	27	101	0.0018966001685866817	0.0070946895195279575
傻眼	1	0	7.024445068839562E-5	0.0
不利	2	2	1.4048890137679124E-4	1.4048890137679124E-4
爱惜	0	2	0.0	1.4048890137679124E-4
佩	7	5	4.917111548187693E-4	3.5122225344197806E-4
稳定	12	19	8.429334082607474E-4	0.0013346445630795167
美不胜收	0	5	0.0	3.5122225344197806E-4
十分满意	0	5	0.0	3.5122225344197806E-4
富裕	0	1	0.0	7.024445068839562E-5
佳	28	120	0.001966844619275077	0.008429334082607475
低	215	183	0.015102556898005057	0.012854734475976399
富丽	2	7	1.4048890137679124E-4	4.917111548187693E-4
不雅观	1	0	7.024445068839562E-5	0.0
皱巴	2	0	1.4048890137679124E-4	0.0
舒	165	932	0.011590334363585277	0.06546782804158471
伪	5	0	3.5122225344197806E-4	0.0
良	23	71	0.0016156223658330992	0.004987355998876089
出众	1	1	7.024445068839562E-5	7.024445068839562E-5
雅致	0	13	0.0	9.13177858949143E-4
喧嚣	1	7	7.024445068839562E-5	4.917111548187693E-4
伤	19	9	0.0013346445630795167	6.322000561955605E-4
愣住	0	2	0.0	1.4048890137679124E-4
有方	0	2	0.0	1.4048890137679124E-4
一成不变	1	0	7.024445068839562E-5	0.0
突出	0	15	0.0	0.0010536667603259344
似	88	191	0.0061815116605788145	0.013416690081483563
艳	1	8	7.024445068839562E-5	5.61955605507165E-4
艰	1	0	7.024445068839562E-5	0.0
恭敬	0	1	0.0	7.024445068839562E-5
无视	6	3	4.214667041303737E-4	2.1073335206518685E-4
企	37	11	0.0025990446754706378	7.726889575723518E-4
松垮	4	0	2.809778027535825E-4	0.0
会	1322	2055	0.092863163810059	0.144352346164653
优	180	461	0.012644001123911211	0.032382691767350376
伟	3	3	2.1073335206518685E-4	2.1073335206518685E-4
可亲	0	4	0.0	2.809778027535825E-4
好奇	4	6	2.809778027535825E-4	4.214667041303737E-4
不平衡	1	0	7.024445068839562E-5	0.0
花哨	1	2	7.024445068839562E-5	1.4048890137679124E-4
芳	1	5	7.024445068839562E-5	3.5122225344197806E-4
花	174	447	0.012222534419780837	0.03139926945771284
可乐	11	14	7.726889575723518E-4	9.834223096375386E-4
斗争	3	2	2.1073335206518685E-4	1.4048890137679124E-4
完善	15	35	0.0010536667603259344	0.0024585557740938466
欢迎	47	104	0.003301489182354594	0.007305422871593144
俏	0	4	0.0	2.809778027535825E-4
关心	5	20	3.5122225344197806E-4	0.0014048890137679123
俊	0	1	0.0	7.024445068839562E-5
不公	3	3	2.1073335206518685E-4	2.1073335206518685E-4
俗	12	10	8.429334082607474E-4	7.024445068839561E-4
芜	0	11	0.0	7.726889575723518E-4
没意思	1	0	7.024445068839562E-5	0.0
好好	37	34	0.0025990446754706378	0.002388311323405451
得体	1	8	7.024445068839562E-5	5.61955605507165E-4
熠熠	0	1	0.0	7.024445068839562E-5
苦	35	23	0.0024585557740938466	0.0016156223658330992
复杂	12	8	8.429334082607474E-4	5.61955605507165E-4
有效	19	25	0.0013346445630795167	0.0017561112672098904
犹豫	2	19	1.4048890137679124E-4	0.0013346445630795167
费时	8	6	5.61955605507165E-4	4.214667041303737E-4
便	646	2407	0.045377915144703566	0.16907839280696824
侈	1	8	7.024445068839562E-5	5.61955605507165E-4
关怀	4	2	2.809778027535825E-4	1.4048890137679124E-4
苛	4	3	2.809778027535825E-4	2.1073335206518685E-4
和蔼可亲	0	2	0.0	1.4048890137679124E-4
苞	2	0	1.4048890137679124E-4	0.0
愣头愣脑	2	0	1.4048890137679124E-4	0.0
蓬勃	0	1	0.0	7.024445068839562E-5
怀疑	55	15	0.003863444787861759	0.0010536667603259344
蔑	3	0	2.1073335206518685E-4	0.0
蔚	1	1	7.024445068839562E-5	7.024445068839562E-5
不俗	0	2	0.0	1.4048890137679124E-4
讨厌	5	6	3.5122225344197806E-4	4.214667041303737E-4
可嘉	2	2	1.4048890137679124E-4	1.4048890137679124E-4
有序	0	6	0.0	4.214667041303737E-4
蔼	0	8	0.0	5.61955605507165E-4
不便	68	129	0.004776622646810902	0.009061534138803035
公开	10	1	7.024445068839561E-4	7.024445068839562E-5
认可	4	35	2.809778027535825E-4	0.0024585557740938466
尽善尽美	0	2	0.0	1.4048890137679124E-4
根本	310	76	0.02177577971340264	0.005338578252318067
好办	1	0	7.024445068839562E-5	0.0
健美	0	1	0.0	7.024445068839562E-5
友好	9	39	6.322000561955605E-4	0.002739533576847429
忽略	0	2	0.0	1.4048890137679124E-4
古色古香	2	14	1.4048890137679124E-4	9.834223096375386E-4
感动	4	86	2.809778027535825E-4	0.006041022759202023
薄	23	24	0.0016156223658330992	0.0016858668165214948
不合适	4	4	2.809778027535825E-4	2.809778027535825E-4
成熟	0	6	0.0	4.214667041303737E-4
曲折	1	0	7.024445068839562E-5	0.0
有趣	3	3	2.1073335206518685E-4	2.1073335206518685E-4
